,vehicle,year,mileage,price
0,2017 Toyota Corolla SE,2017,75540,15946
1,2019 Toyota Corolla LE,2019,57206,17378
2,2020 Toyota Corolla LE,2020,20182,20580
3,2020 Toyota Corolla LE,2020,50398,19000
4,2019 Toyota Corolla LE,2019,60156,18990
5,2017 Toyota Corolla LE,2017,56746,18749
6,2019 Toyota Corolla LE,2019,46735,22469
7,2017 Toyota Corolla SE,2017,39219,18989
8,2018 Toyota Corolla LE,2018,43458,19687
9,2020 Toyota Corolla LE,2020,62077,18322
10,2020 Toyota Corolla LE,2020,22002,22405
11,2019 Toyota Corolla L,2019,47231,19944
12,2020 Toyota Corolla LE,2020,45882,19500
13,2020 Toyota Corolla LE,2020,22561,21009
14,2019 Toyota Corolla LE,2019,32166,19316
15,2020 Toyota Corolla LE,2020,19208,20789
16,2020 Toyota Corolla LE,2020,21620,23988
17,2019 Toyota Corolla LE,2019,47944,18289
18,2020 Toyota Corolla LE,2020,26738,19911
19,2019 Toyota Corolla LE,2019,45178,19000
20,2016 Toyota Corolla LE,2016,75408,14854
21,2016 Toyota Corolla LE Plus,2016,60934,13991
22,2019 Toyota Corolla LE,2019,7623,22960
23,2016 Toyota Corolla LE,2016,81300,15934
24,2020 Toyota Corolla LE,2020,56776,19990
25,2020 Toyota Corolla LE,2020,31820,20000
26,2019 Toyota Corolla LE,2019,56657,19520
27,2018 Toyota Corolla LE,2018,62480,17990
28,2020 Toyota Corolla LE,2020,27775,21990
29,2017 Toyota Corolla LE,2017,83396,14800
30,2020 Toyota Corolla LE,2020,35306,21887
31,2019 Toyota Corolla LE,2019,48732,20987
32,2019 Toyota Corolla LE,2019,32110,20488
33,2018 Toyota Corolla LE,2018,59312,17303
34,2020 Toyota Corolla LE,2020,6471,22999
35,2021 Toyota Corolla SE,2021,28416,23876
36,2018 Toyota Corolla LE,2018,67227,16991
37,2020 Toyota Corolla LE,2020,12398,21816
38,2017 Toyota Corolla SE,2017,44893,23481
39,2019 Toyota Corolla ,2019,38936,22000
40,2020 Toyota Corolla SE,2020,39207,23515
41,2021 Toyota Corolla SE,2021,30199,23777
42,2021 Toyota Corolla LE,2021,35211,23199
43,2017 Toyota Corolla LE,2017,35830,17990
44,2019 Toyota Corolla SE,2019,42292,19997
45,2019 Toyota Corolla SE,2019,44598,19000
46,2020 Toyota Corolla SE,2020,38364,21646
47,2019 Toyota Corolla LE,2019,31316,17588
48,2020 Toyota Corolla SE,2020,25836,24999
49,2020 Toyota Corolla LE,2020,31286,21189
50,2020 Toyota Corolla SE,2020,41628,25481
51,2017 Toyota Corolla LE,2017,19753,18499
52,2018 Toyota Corolla SE,2018,39680,19991
53,2015 Toyota Corolla LE Plus,2015,101472,11195
