vehicle,mileage,price
2017 Toyota Corolla SE,"75,540 mi.","$15,946"
2019 Toyota Corolla LE,"57,206 mi.","$17,378"
2020 Toyota Corolla LE,"20,182 mi.","$20,580"
2020 Toyota Corolla LE,"50,398 mi.","$19,000"
2019 Toyota Corolla LE,"60,156 mi.","$18,990"
2017 Toyota Corolla LE,"56,746 mi.","$18,749"
2019 Toyota Corolla LE,"46,735 mi.","$22,469"
2017 Toyota Corolla SE,"39,219 mi.","$18,989"
2018 Toyota Corolla LE,"43,458 mi.","$19,687"
2020 Toyota Corolla LE,"62,077 mi.","$18,322"
2020 Toyota Corolla LE,"22,002 mi.","$22,405"
2019 Toyota Corolla L,"47,231 mi.","$19,944"
2020 Toyota Corolla LE,"45,882 mi.","$19,500"
2020 Toyota Corolla LE,"22,561 mi.","$21,009"
2019 Toyota Corolla LE,"32,166 mi.","$19,316"
2020 Toyota Corolla LE,"19,208 mi.","$20,789"
2020 Toyota Corolla LE,"21,620 mi.","$23,988"
2019 Toyota Corolla LE,"47,944 mi.","$18,289"
2020 Toyota Corolla LE,"26,738 mi.","$19,911"
2019 Toyota Corolla LE,"45,178 mi.","$19,000"
2016 Toyota Corolla LE,"75,408 mi.","$14,854"
2016 Toyota Corolla LE Plus,"60,934 mi.","$13,991"
2019 Toyota Corolla LE,"7,623 mi.","$22,960"
2016 Toyota Corolla LE,"81,300 mi.","$15,934"
2020 Toyota Corolla LE,"56,776 mi.","$19,990"
2020 Toyota Corolla LE,"31,820 mi.","$20,000"
2019 Toyota Corolla LE,"56,657 mi.","$19,520"
2018 Toyota Corolla LE,"62,480 mi.","$17,990"
2020 Toyota Corolla LE,"27,775 mi.","$21,990"
2017 Toyota Corolla LE,"83,396 mi.","$14,800"
2020 Toyota Corolla LE,"35,306 mi.","$21,887"
2019 Toyota Corolla LE,"48,732 mi.","$20,987"
2019 Toyota Corolla LE,"32,110 mi.","$20,488"
2018 Toyota Corolla LE,"59,312 mi.","$17,303"
2020 Toyota Corolla LE,"6,471 mi.","$22,999"
